"SEN","09/04/2016","21","2254.384","0.105","0.388","4180.085","15087.875","221.25","664.132","6598.691","784.627","3470.974","1302.823"
"SEN","09/04/2016","22","2211.267","0","0.395","4165.986","15126.036","220.442","664.234","6937.297","784.865","3470.135","1300.348"
"SEN","09/04/2016","23","2147.388","0","0.442","4177.794","15137.355","211.545","665.692","5933.948","784.7","3487.929","1295.272"
"SEN","09/04/2016","24","2074.651","0","0.497","4160.108","15178.846","208.972","667.214","4416.074","784.368","3459.011","1286.643"
"SEN","10/04/2016","1","2030.256","0","0.467","4029.289","14915.039","210.599","666.953","3353.072","783.92","3387.652","1194.552"
"SEN","10/04/2016","2","2039.872","0","0.433","3922.361","14490.158","213.375","667.838","2088.139","783.583","3389.465","1086.187"
"SEN","10/04/2016","3","1964.172","0","0.468","4103.913","14264.545","212.619","670.066","1457.513","783.093","3304.58","1070.825"
"SEN","10/04/2016","4","1897.585","0","0.551","4147.735","14136.92","211.058","669.747","1305.344","783.682","2952.001","1050.393"
"SEN","10/04/2016","5","1839.788","0","0.359","4140.539","14129.343","211.873","671.705","1380.771","783.802","2831.276","1049.845"
"SEN","10/04/2016","6","1724.781","0","0.914","4136.296","14135.729","211.005","671.335","1315.522","785.155","2840.805","1071.675"
"SEN","10/04/2016","7","1589.161","0.001","0.516","4169.747","14179.758","212.567","671.177","1485.661","785.866","2841.197","1079.613"
"SEN","10/04/2016","8","1507.58","0.256","0","4169.173","14096.221","210.031","672.456","1651.1","786.193","2663.898","1139.736"
"SEN","10/04/2016","9","1372.412","10.557","0","4183.397","13999.631","209.448","670.274","1816.48","786.784","2638.295","1092.426"
"SEN","10/04/2016","10","1308.982","32.195","0","4172.68","14177.963","218.997","653.387","2670.098","786.776","2637.555","1036.849"
"SEN","10/04/2016","11","1146.662","50.235","0","4169.958","14384.55","216.008","642.11","3253.522","786.411","2848.232","1035.833"
"SEN","10/04/2016","12","822.86","60.021","0","4185.096","14523.366","215.72","643.124","3579.221","787.824","3079.297","1075.092"
"SEN","10/04/2016","13","567.671","68.926","0","4182.297","14710.2","213.056","639.675","4035.661","787.929","3109.526","1060.294"
"SEN","10/04/2016","14","405.611","71.499","0","4181.797","14778.986","202.149","636.317","4315.025","787.307","3046.491","1052.119"
"SEN","10/04/2016","15","281.4","61.605","0","4201.153","14734.824","218.658","638.982","4542.514","786.773","3092.437","1049.803"
"SEN","10/04/2016","16","266.262","62.88","0","4190.669","14616.679","217.244","644.15","4614.558","784.302","3088.809","1025.456"
"SEN","10/04/2016","17","345.76","62.124","0","4174.921","14596.946","212.61","647.759","4798.061","781.537","3101.219","1026.639"
"SEN","10/04/2016","18","446.337","43.391","0.664","4156.86","14656.633","209.281","646.716","4762.243","780.268","3097.192","1042.9"
"SEN","10/04/2016","19","462.012","19.46","0.595","4196.329","14737.602","208.087","649.664","4595.677","779.72","3089.3","1032.576"
"SEN","10/04/2016","20","576.624","4.973","0.48","4152.492","14744.154","208.996","653.19","5189.643","779.257","3092.037","1049.782"
"SEN","10/04/2016","21","773.988","0.042","0.545","4214.729","14800.147","218.914","655.051","7645.365","780.489","3103.932","1056.895"
"SEN","10/04/2016","22","842.309","0","0.568","4212.433","14858.317","220.773","661.625","8519.761","782.574","3104.39","1063.769"
"SEN","10/04/2016","23","698.638","0","0.489","4207.403","14928.976","214.003","669.243","7860.639","783.704","3100.887","1068.853"
"SEN","10/04/2016","24","653.844","0","0.472","4210.046","15039.517","205.053","668.923","5917.448","785.309","3077.977","1057.013"
"SEN","11/04/2016","1","616.159","0","0.498","4173.1","15032.951","210.004","670.541","4211.454","785.813","3068.111","1091.993"
"SEN","11/04/2016","2","483.776","0","0.446","4156.258","14925.679","210.331","670.391","3034.937","786.609","3060.171","1136.85"
"SEN","11/04/2016","3","287.719","0","0.495","4212.559","14995.656","212.004","669.917","2566.654","787.274","2956.077","1160.919"
"SEN","11/04/2016","4","241.246","0","0.815","4211.608","14927.316","208.492","672.223","2280.868","788.216","2928.406","1129.916"
"SEN","11/04/2016","5","245.111","0","1.228","4225.919","14849.049","205.146","669.432","2184.768","789.122","2986.552","1123.991"
"SEN","11/04/2016","6","240.95","0","0.482","4217.547","14797.85","207.96","665.969","2618.544","789.413","3182.072","1131.471"
"SEN","11/04/2016","7","200.025","0.079","0","4222.622","14931.415","216.254","665.47","4019.129","789.4","3450.771","1143.567"
"SEN","11/04/2016","8","125.921","0.676","0","4211.142","15196.493","211.421","658.537","5220.268","789.683","3677.005","1179.232"
"SEN","11/04/2016","9","69.814","10.175","0","4178.376","15484.703","211.583","659.577","5695.368","789.8","4200.038","1156.308"
"SEN","11/04/2016","10","50.766","33.292","0","3872.473","15718.212","213.857","645.199","6787.953","789.818","4684.517","1150.184"
"SEN","11/04/2016","11","48.358","47.535","0","3844.521","15678.245","215.214","646.032","7644.952","789.777","4995.901","1145.858"
"SEN","11/04/2016","12","71.648","61.619","0","3869.514","15753.894","212.757","645.863","8275.371","789.091","5146.549","1088.249"
"SEN","11/04/2016","13","187.152","62.965","0","3883.806","15894.261","207.014","659.911","8423.48","789.095","5295.872","1087.672"
"SEN","11/04/2016","14","385.747","61.808","0","3900.371","15977.255","206.498","667.646","8426.147","787.954","5352.35","1094.486"
"SEN","11/04/2016","15","451.818","58.826","0","3880.277","15924.965","206.6","669.695","8384.387","786.949","5478.515","1104.799"
"SEN","11/04/2016","16","503.046","45.591","0","3893.764","15721.896","205.349","668.765","9033.801","785.577","5519.616","1122.48"
"SEN","11/04/2016","17","473.151","37.741","0","3880.706","15714.217","201.974","670.034","8996.469","784.842","5557.364","1130.288"
"SEN","11/04/2016","18","390.158","37.792","0.712","3890.474","15452.864","172.947","670.359","8832.098","784.353","5560.657","1179.096"
"SEN","11/04/2016","19","385.926","24.687","0.54","3911.304","15346.219","182.607","668.98","7950.344","783.289","5555.769","1160.943"
