"SEN","07/03/2026","1","3209.0499","4.1468","24.0042","1224.8231","24672.6334","286.5602","370.0948","2795.5916","1528.9495","3774.6198","1887.1389"
"SEN","07/03/2026","2","2958.093","0.0021","20.5901","1225.4056","24208.1238","288.2212","369.9153","2375.0408","1530.6246","3778.1291","1519.5337"
"SEN","07/03/2026","3","2798.5996","0.0025","19.7904","1228.6568","23929.6136","290.9125","369.1264","2034.1185","1531.8793","3444.2529","1476.1918"
"SEN","07/03/2026","4","2563.6785","0.0024","25.4852","1230.1971","23790.2521","298.9637","369.4054","1796.5607","1531.9837","3362.3162","1460.7598"
"SEN","07/03/2026","5","2358.3131","0.0027","19.604","1232.1339","23684.5733","293.2343","370.8521","1684.9362","1532.872","3348.3393","1420.7096"
"SEN","07/03/2026","6","2327.2246","0.0291","22.6293","1186.2029","23551.3615","295.4097","370.532","1966.6032","1533.4375","3269.7824","1252.5532"
"SEN","07/03/2026","7","2279.1235","47.2196","23.2573","1154.3851","23264.737","301.0635","369.9871","2663.2192","1533.8279","3132.377","1254.7378"
"SEN","07/03/2026","8","2207.5929","883.9298","22.8337","1160.4725","23029.9328","286.9101","368.475","2523.1813","1533.8521","3033.5773","1274.739"
"SEN","07/03/2026","9","2047.9418","4151.9886","25.875","1161.7784","21963.4069","250.738","367.3757","1707.8704","1534.6547","2842.3334","1228.0597"
"SEN","07/03/2026","10","2117.3288","5945.729","25.8028","1163.5614","20948.0735","247.6801","366.0108","1504.5807","1534.1231","2847.1013","1249.2138"
"SEN","07/03/2026","11","2173.4943","6497.2757","25.9728","1165.1174","20422.4615","236.8683","363.9608","1663.8547","1533.308","2830.9542","1281.1291"
"SEN","07/03/2026","12","2062.0224","6641.435","24.5713","1180.294","20624.5658","246.0596","330.2784","1759.4127","1532.6459","2827.267","1286.2855"
"SEN","07/03/2026","13","1982.1492","6641.0308","25.5604","1298.2049","20726.4584","242.6272","340.1388","1925.8584","1531.4131","2834.6092","1282.2981"
"SEN","07/03/2026","14","1890.8359","6400.4517","23.1618","1311.3891","20774.1029","240.5445","340.0579","2328.6189","1530.8095","2838.4416","1286.8698"
"SEN","07/03/2026","15","1920.0825","6128.331","26.3169","1308.6823","20635.5573","240.4016","341.6821","2673.8891","1530.1659","2839.5646","1282.1233"
